GeneIDs	lcountsRep1	lcountsRep2	lcountsRep3	lcountsRep4	lcountsRep5	lcountsRep6	mean
NM_001001133	1	1	2	2	2	4	2
NM_001001134	1	0	1	0	1	1	0.666666667
NM_001001135	0	0	0	0	0	0	0
NM_001001138	0	0	0	0	0	0	0
NM_001001141	1	1	1	2	2	2	1.5
NM_001001147	0	0	0	0	0	0	0
NM_001001150	3	4	0	2	5	3	2.833333333
NM_001001151	0	0	0	0	0	0	0
NM_001001156	0	0	0	0	0	0	0
NM_001001159	10	10	10	13	7	9	9.833333333
NM_001001161	10	9	4	8	9	8	8
NM_001001162	25	28	26	28	26	27	26.66666667
NM_001001164	41	52	32	42	44	42	42.16666667
NM_001001166	3	3	1	5	4	2	3
NM_001001168	10	8	7	9	11	11	9.333333333
NM_001001169	9	10	9	11	13	11	10.5
NM_001001170	0	0	0	0	0	0	0
NM_001001172	0	0	0	0	0	0	0
NM_001001173	36	29	44	35	45	38	37.83333333
NM_001001175	0	0	0	0	0	0	0
NM_001001440	46	45	45	47	36	58	46.16666667
NM_001001441	0	0	0	0	0	0	0
NM_001001525	4	5	6	7	3	7	5.333333333
NM_001001526	0	0	0	0	0	0	0
NM_001001554	8	5	10	9	16	7	9.166666667
NM_001001598	0	0	0	0	0	0	0
NM_001001600	0	0	0	0	0	0	0
NM_001001601	0	0	0	0	0	0	0
NM_001001854	1	1	0	1	0	1	0.666666667
NM_001001855	0	0	0	0	0	0	0
NM_001002882	0	0	0	0	0	0	0
NM_001002883	1	0	1	2	1	0	0.833333333
NM_001002885	453	419	439	425	464	443	440.5
NM_001002886	16	19	17	12	14	12	15
NM_001002887	6	8	6	6	5	7	6.333333333
NM_001002889	6	6	7	11	2	9	6.833333333
NM_001002891	0	0	0	0	0	0	0
NM_001002892	8	9	2	9	5	11	7.333333333
NM_001002893	11	5	12	15	10	7	10
NM_001003657	1	1	0	2	0	1	0.833333333
NM_001003658	128	105	134	147	131	157	133.6666667
NM_001003900	37	40	36	40	41	43	39.5
NM_001003901	39	32	44	45	43	37	40
NM_001003902	22	27	27	16	21	16	21.5
NM_001003903	23	21	21	33	14	12	20.66666667
NM_001003905	1	1	1	0	2	0	0.833333333
NM_001003906	84	80	74	79	84	74	79.16666667
NM_001004024	110	115	127	122	92	106	112
NM_001007805	0	0	0	0	0	0	0
NM_001007806	49	50	47	55	50	61	52
NM_001007807	5	4	4	5	7	4	4.833333333
NM_001007808	0	0	0	0	0	0	0
NM_001007809	7	4	5	3	5	5	4.833333333
NM_001007810	1	2	3	1	1	1	1.5
NM_001007812	6	4	5	4	2	9	5
NM_001007813	0	0	0	0	0	0	0
NM_001007816	21	20	24	16	21	27	21.5
NM_001007817	0	0	0	0	0	0	0
NM_001007818	105	115	99	112	120	113	110.6666667
NM_001008416	3	6	3	4	3	1	3.333333333
NM_001008663	96	108	106	99	93	84	97.66666667
NM_001008664	2	3	3	0	0	2	1.666666667
NM_001008665	0	0	0	0	0	0	0
NM_001008666	0	0	0	0	0	0	0
NM_001008667	0	0	0	0	0	0	0
NM_001008669	48	41	46	46	49	49	46.5
NM_001008670	0	0	0	0	0	0	0
NM_001009572	0	0	0	0	0	0	0
NM_001010991	0	0	0	0	0	0	0
NM_001010992	4	3	8	1	7	3	4.333333333
NM_001010995	118	127	123	117	122	108	119.1666667
NM_001011672	1	1	0	0	0	2	0.666666667
NM_001011676	1	1	1	0	0	1	0.666666667
NM_001011678	22	13	14	24	16	31	20
NM_001011682	5	7	5	3	6	4	5
NM_001011683	1	1	2	1	2	1	1.333333333
NM_001011685	3	4	3	3	5	2	3.333333333
NM_001012281	3	1	4	1	3	7	3.166666667
NM_001012283	0	0	0	0	0	0	0
NM_001012284	4	2	1	4	4	2	2.833333333
NM_001012287	9	11	13	14	12	10	11.5
NM_001012519	2	3	1	2	2	0	1.666666667
NM_001012668	2	1	0	1	4	3	1.833333333
NM_001012669	5056	5130	4943	5092	5019	5107	5057.833333
NM_001012670	81	68	79	67	84	71	75
NM_001012671	36	32	30	36	43	35	35.33333333
NM_001012672	0	0	0	0	0	0	0
NM_001012673	0	0	0	0	0	0	0
NM_001012674	20	24	26	16	22	22	21.66666667
NM_001012675	18	19	15	21	21	20	19
NM_001012676	4	9	4	3	4	4	4.666666667
NM_001012677	1	0	3	0	0	0	0.666666667
NM_001012680	25	30	15	28	28	19	24.16666667
NM_001012682	1318	1392	1278	1299	1312	1302	1316.833333
NM_001012686	0	0	0	0	0	0	0
NM_001012687	0	0	0	0	0	0	0
NM_001012764	37	49	34	38	47	30	39.16666667
NM_001012998	73	71	91	79	94	81	81.5
NM_001012999	8	8	6	4	9	3	6.333333333
NM_001013001	1	1	4	1	2	0	1.5
NM_001013003	0	0	0	0	0	0	0
NM_001013004	60	44	71	57	61	66	59.83333333
NM_001013364	69	72	70	63	66	57	66.16666667
NM_001013402	0	0	0	0	0	0	0
NM_001013582	5	4	3	5	1	9	4.5
NM_001013584	0	0	0	0	0	0	0
NM_001013585	7	5	8	7	9	7	7.166666667
NM_001013586	0	0	0	0	0	0	0
NM_001013587	13	21	15	13	16	11	14.83333333
NM_001013588	9	8	11	11	10	9	9.666666667
NM_001013589	14	14	13	13	13	14	13.5
NM_001013590	2	5	1	3	1	1	2.166666667
NM_001013591	0	0	0	0	0	0	0
NM_001013592	20	18	17	25	23	9	18.66666667
NM_001013593	0	0	0	0	0	0	0
NM_001013596	0	0	0	0	0	0	0
NM_001013597	0	0	0	0	0	0	0
NM_001013598	4	4	4	1	5	1	3.166666667
NM_001013599	36	35	30	36	28	38	33.83333333
NM_001013602	12	11	9	13	7	12	10.66666667
NM_001013604	3	4	4	2	3	0	2.666666667
NM_001014382	14	15	15	14	17	20	15.83333333
NM_001014386	780	788	749	788	717	821	773.8333333
NM_001014388	828	806	810	833	814	879	828.3333333
NM_001014389	573	573	542	582	578	553	566.8333333
NM_001014391	0	0	0	0	0	0	0
NM_001014844	77	66	73	75	84	92	77.83333333
NM_001014848	0	0	0	0	0	0	0
NM_001014849	4	6	3	3	5	5	4.333333333
NM_001014851	8	8	9	10	11	7	8.833333333
NM_001014852	3	1	0	1	8	5	3
NM_001014853	3	6	5	2	4	3	3.833333333
NM_001014854	0	0	0	0	0	0	0
NM_001014855	28	28	29	24	26	37	28.66666667
NM_001014856	10	6	8	10	12	16	10.33333333
NM_001014858	3	3	2	0	4	2	2.333333333
